"year","month","day","tmax","measurement.flag.4","quality.flag.4","source.flag.4","tmin","measurement.flag.5","quality.flag.5","source.flag.5"
2000,0,1,117,NA,NA,"W",44,NA," ","W"
2000,0,2,133,NA,NA,"W",-28,NA," ","W"
2000,0,3,133,NA,NA,"W",-11,NA," ","W"
2000,0,4,144,NA,NA,"W",0,NA," ","W"
2000,0,5,161,NA,NA,"W",50,NA," ","W"
2000,0,6,144,NA,NA,"W",22,NA," ","W"
2000,0,7,150,NA,NA,"W",0,NA," ","W"
2000,0,8,156,NA,NA,"W",17,NA," ","W"
2000,0,9,150,NA,NA,"W",61,NA," ","W"
2000,0,10,139,NA,NA,"W",78,NA," ","W"
2000,0,11,150,NA,NA,"W",72,NA," ","W"
2000,0,12,122,NA,NA,"W",44,NA," ","W"
2000,0,13,178,NA,NA,"W",28,NA," ","W"
2000,0,14,167,NA,NA,"W",44,NA," ","W"
2000,0,15,200,NA,NA,"W",94,NA," ","W"
2000,0,16,172,NA,NA,"W",67,NA," ","W"
2000,0,17,100,NA,NA,"W",67,NA," ","W"
2000,0,18,183,NA,NA,"W",94,NA," ","W"
2000,0,19,172,NA,NA,"W",106,NA," ","W"
2000,0,20,144,NA,NA,"W",67,NA," ","W"
2000,0,21,167,NA,NA,"W",50,NA," ","W"
2000,0,22,156,NA,NA,"W",72,NA," ","W"
2000,0,23,144,NA,NA,"W",106,NA," ","W"
2000,0,24,144,NA,NA,"W",111,NA," ","W"
2000,0,25,156,NA,NA,"W",78,NA," ","W"
2000,0,26,133,NA,NA,"W",33,NA," ","W"
2000,0,27,156,NA,NA,"W",33,NA," ","W"
2000,0,28,128,NA,NA,"W",11,NA," ","W"
2000,0,29,156,NA,NA,"W",39,NA," ","W"
2000,0,30,144,NA,NA,"W",72,NA," ","W"
2000,0,31,128,NA,NA,"W",78,NA," ","W"
2000,1,1,167,NA,NA,"W",72,NA," ","W"
2000,1,2,144,NA,NA,"W",83,NA," ","W"
2000,1,3,211,NA,NA,"W",67,NA," ","W"
2000,1,4,156,NA,NA,"W",61,NA," ","W"
2000,1,5,167,NA,NA,"W",72,NA," ","W"
2000,1,6,161,NA,NA,"W",44,NA," ","W"
2000,1,7,178,NA,NA,"W",44,NA," ","W"
2000,1,8,200,NA,NA,"W",72,NA," ","W"
2000,1,9,156,NA,NA,"W",89,NA," ","W"
2000,1,10,133,NA,NA,"W",56,NA," ","W"
2000,1,11,133,NA,NA,"W",50,NA," ","W"
2000,1,12,139,NA,NA,"W",56,NA," ","W"
2000,1,13,150,NA,NA,"W",94,NA," ","W"
2000,1,14,156,NA,NA,"W",78,NA," ","W"
2000,1,15,156,NA,NA,"W",39,NA," ","W"
2000,1,16,128,NA,NA,"W",61,NA," ","W"
2000,1,17,144,NA,NA,"W",22,NA," ","W"
2000,1,18,156,NA,NA,"W",44,NA," ","W"
2000,1,19,172,NA,NA,"W",44,NA," ","W"
2000,1,20,206,NA,NA,"W",100,NA," ","W"
2000,1,21,172,NA,NA,"W",72,NA," ","W"
2000,1,22,128,NA,NA,"W",67,NA," ","W"
2000,1,23,117,NA,NA,"W",28,NA," ","W"
2000,1,24,106,NA,NA,"W",6,NA," ","W"
2000,1,25,139,NA,NA,"W",67,NA," ","W"
2000,1,26,172,NA,NA,"W",100,NA," ","W"
2000,1,27,139,NA,NA,"W",89,NA," ","W"
2000,1,28,133,NA,NA,"W",67,NA," ","W"
2000,1,29,139,NA,NA,"W",39,NA," ","W"
2000,2,1,161,NA,NA,"W",28,NA," ","W"
2000,2,2,128,NA,NA,"W",83,NA," ","W"
2000,2,3,178,NA,NA,"W",39,NA," ","W"
2000,2,4,167,NA,NA,"W",56,NA," ","W"
2000,2,5,111,NA,NA,"W",56,NA," ","W"
2000,2,6,122,NA,NA,"W",61,NA," ","W"
2000,2,7,117,NA,NA,"W",56,NA," ","W"
2000,2,8,122,NA,NA,"W",39,NA," ","W"
2000,2,9,144,NA,NA,"W",50,NA," ","W"
2000,2,10,178,NA,NA,"W",17,NA," ","W"
2000,2,11,172,NA,NA,"W",67,NA," ","W"
2000,2,12,194,NA,NA,"W",50,NA," ","W"
2000,2,13,206,NA,NA,"W",39,NA," ","W"
2000,2,14,228,NA,NA,"W",89,NA," ","W"
2000,2,15,239,NA,NA,"W",56,NA," ","W"
2000,2,16,194,NA,NA,"W",67,NA," ","W"
2000,2,17,222,NA,NA,"W",28,NA," ","W"
2000,2,18,244,NA,NA,"W",56,NA," ","W"
2000,2,19,167,NA,NA,"W",72,NA," ","W"
2000,2,20,178,NA,NA,"W",61,NA," ","W"
2000,2,21,222,NA,NA,"W",67,NA," ","W"
2000,2,22,233,NA,NA,"W",39,NA," ","W"
2000,2,23,172,NA,NA,"W",67,NA," ","W"
2000,2,24,183,NA,NA,"W",39,NA," ","W"
2000,2,25,172,NA,NA,"W",61,NA," ","W"
2000,2,26,189,NA,NA,"W",44,NA," ","W"
2000,2,27,128,NA,NA,"W",83,NA," ","W"
2000,2,28,167,NA,NA,"W",61,NA," ","W"
2000,2,29,194,NA,NA,"W",28,NA," ","W"
2000,2,30,233,NA,NA,"W",44,NA," ","W"
2000,2,31,261,NA,NA,"W",161,NA," ","W"
2000,3,1,278,NA,NA,"W",111,NA," ","W"
2000,3,2,294,NA,NA,"W",83,NA," ","W"
2000,3,3,278,NA,NA,"W",89,NA," ","W"
2000,3,4,200,NA,NA,"W",94,NA," ","W"
2000,3,5,194,NA,NA,"W",83,NA," ","W"
2000,3,6,206,NA,NA,"W",61,NA," ","W"
2000,3,7,261,NA,NA,"W",33,NA," ","W"
2000,3,8,167,NA,NA,"W",89,NA," ","W"
2000,3,9,189,NA,NA,"W",89,NA," ","W"
2000,3,10,233,NA,NA,"W",44,NA," ","W"
2000,3,11,272,NA,NA,"W",67,NA," ","W"
2000,3,12,283,NA,NA,"W",128,NA," ","W"
2000,3,13,189,NA,NA,"W",117,NA," ","W"
2000,3,14,183,NA,NA,"W",94,NA," ","W"
2000,3,15,161,NA,NA,"W",106,NA," ","W"
2000,3,16,183,NA,NA,"W",111,NA," ","W"
2000,3,17,150,NA,NA,"W",61,NA," ","W"
2000,3,18,183,NA,NA,"W",28,NA," ","W"
2000,3,19,200,NA,NA,"W",44,NA," ","W"
2000,3,20,222,NA,NA,"W",72,NA," ","W"
2000,3,21,189,NA,NA,"W",83,NA," ","W"
2000,3,22,178,NA,NA,"W",89,NA," ","W"
2000,3,23,183,NA,NA,"W",61,NA," ","W"
2000,3,24,228,NA,NA,"W",39,NA," ","W"
2000,3,25,217,NA,NA,"W",61,NA," ","W"
2000,3,26,278,NA,NA,"W",67,NA," ","W"
2000,3,27,194,NA,NA,"W",78,NA," ","W"
2000,3,28,172,NA,NA,"W",67,NA," ","W"
2000,3,29,222,NA,NA,"W",33,NA," ","W"
2000,3,30,272,NA,NA,"W",44,NA," ","W"
2000,4,1,239,NA,NA,"W",72,NA," ","W"
2000,4,2,239,NA,NA,"W",106,NA," ","W"
2000,4,3,239,NA,NA,"W",89,NA," ","W"
2000,4,4,222,NA,NA,"W",111,NA," ","W"
2000,4,5,194,NA,NA,"W",94,NA," ","W"
2000,4,6,161,NA,NA,"W",89,NA," ","W"
2000,4,7,161,NA,NA,"W",100,NA," ","W"
2000,4,8,217,NA,NA,"W",111,NA," ","W"
2000,4,9,200,NA,NA,"W",111,NA," ","W"
2000,4,10,172,NA,NA,"W",78,NA," ","W"
2000,4,11,194,NA,NA,"W",44,NA," ","W"
2000,4,12,222,NA,NA,"W",44,NA," ","W"
2000,4,13,206,NA,NA,"W",89,NA," ","W"
2000,4,14,183,NA,NA,"W",61,NA," ","W"
2000,4,15,189,NA,NA,"W",94,NA," ","W"
2000,4,16,172,NA,NA,"W",94,NA," ","W"
2000,4,17,222,NA,NA,"W",117,NA," ","W"
2000,4,18,283,NA,NA,"W",83,NA," ","W"
2000,4,19,322,NA,NA,"W",111,NA," ","W"
2000,4,20,339,NA,NA,"W",117,NA," ","W"
2000,4,21,367,NA,NA,"W",139,NA," ","W"
2000,4,22,356,NA,NA,"W",150,NA," ","W"
2000,4,23,339,NA,NA,"W",161,NA," ","W"
2000,4,24,267,NA,NA,"W",122,NA," ","W"
2000,4,25,217,NA,NA,"W",106,NA," ","W"
2000,4,26,250,NA,NA,"W",111,NA," ","W"
2000,4,27,272,NA,NA,"W",128,NA," ","W"
2000,4,28,283,NA,NA,"W",122,NA," ","W"
2000,4,29,244,NA,NA,"W",100,NA," ","W"
2000,4,30,239,NA,NA,"W",78,NA," ","W"
2000,4,31,283,NA,NA,"W",83,NA," ","W"
2000,5,1,311,NA,NA,"W",83,NA," ","W"
2000,5,2,261,NA,NA,"W",111,NA," ","W"
2000,5,3,272,NA,NA,"W",100,NA," ","W"
2000,5,4,261,NA,NA,"W",100,NA," ","W"
2000,5,5,222,NA,NA,"W",117,NA," ","W"
2000,5,6,244,NA,NA,"W",100,NA," ","W"
2000,5,7,222,NA,NA,"W",128,NA," ","W"
2000,5,8,189,NA,NA,"W",117,NA," ","W"
2000,5,9,206,NA,NA,"W",111,NA," ","W"
2000,5,10,222,NA,NA,"W",106,NA," ","W"
2000,5,11,267,NA,NA,"W",83,NA," ","W"
2000,5,12,-9999,NA,NA," ",-9999,NA," "," "
2000,5,13,372,NA,NA,"W",133,NA," ","W"
2000,5,14,417,NA,NA,"W",206,NA," ","W"
2000,5,15,394,NA,NA,"W",183,NA," ","W"
2000,5,16,350,NA,NA,"W",167,NA," ","W"
2000,5,17,272,NA,NA,"W",144,NA," ","W"
2000,5,18,244,NA,NA,"W",133,NA," ","W"
2000,5,19,317,NA,NA,"W",133,NA," ","W"
2000,5,20,356,NA,NA,"W",150,NA," ","W"
2000,5,21,356,NA,NA,"W",156,NA," ","W"
2000,5,22,272,NA,NA,"W",122,NA," ","W"
2000,5,23,261,NA,NA,"W",117,NA," ","W"
2000,5,24,283,NA,NA,"W",122,NA," ","W"
2000,5,25,328,NA,NA,"W",133,NA," ","W"
2000,5,26,350,NA,NA,"W",128,NA," ","W"
2000,5,27,344,NA,NA,"W",156,NA," ","W"
2000,5,28,339,NA,NA,"W",150,NA," ","W"
2000,5,29,278,NA,NA,"W",133,NA," ","W"
2000,5,30,244,NA,NA,"W",117,NA," ","W"
2000,6,1,250,NA,NA,"W",117,NA," ","W"
2000,6,2,211,NA,NA,"W",111,NA," ","W"
2000,6,3,228,NA,NA,"W",111,NA," ","W"
2000,6,4,267,NA,NA,"W",106,NA," ","W"
2000,6,5,206,NA,NA,"W",122,NA," ","W"
2000,6,6,222,NA,NA,"W",122,NA," ","W"
2000,6,7,222,NA,NA,"W",111,NA," ","W"
2000,6,8,272,NA,NA,"W",128,NA," ","W"
2000,6,9,306,NA,NA,"W",122,NA," ","W"
2000,6,10,294,NA,NA,"W",117,NA," ","W"
2000,6,11,294,NA,NA,"W",128,NA," ","W"
2000,6,12,261,NA,NA,"W",139,NA," ","W"
2000,6,13,250,NA,NA,"W",128,NA," ","W"
2000,6,14,322,NA,NA,"W",111,NA," ","W"
2000,6,15,283,NA,NA,"W",117,NA," ","W"
2000,6,16,211,NA,NA,"W",133,NA," ","W"
2000,6,17,211,NA,NA,"W",128,NA," ","W"
2000,6,18,311,NA,NA,"W",133,NA," ","W"
2000,6,19,311,NA,NA,"W",122,NA," ","W"
2000,6,20,317,NA,NA,"W",122,NA," ","W"
2000,6,21,256,NA,NA,"W",122,NA," ","W"
2000,6,22,300,NA,NA,"W",133,NA," ","W"
2000,6,23,356,NA,NA,"W",106,NA," ","W"
2000,6,24,361,NA,NA,"W",117,NA," ","W"
2000,6,25,311,NA,NA,"W",122,NA," ","W"
2000,6,26,261,NA,NA,"W",133,NA," ","W"
2000,6,27,294,NA,NA,"W",128,NA," ","W"
2000,6,28,333,NA,NA,"W",128,NA," ","W"
2000,6,29,361,NA,NA,"W",133,NA," ","W"
2000,6,30,367,NA,NA,"W",167,NA," ","W"
2000,6,31,394,NA,NA,"W",167,NA," ","W"
2000,7,1,400,NA,NA,"W",189,NA," ","W"
2000,7,2,372,NA,NA,"W",183,NA," ","W"
2000,7,3,344,NA,NA,"W",167,NA," ","W"
2000,7,4,328,NA,NA,"W",144,NA," ","W"
2000,7,5,333,NA,NA,"W",139,NA," ","W"
2000,7,6,283,NA,NA,"W",133,NA," ","W"
2000,7,7,217,NA,NA,"W",133,NA," ","W"
2000,7,8,272,NA,NA,"W",139,NA," ","W"
2000,7,9,267,NA,NA,"W",133,NA," ","W"
2000,7,10,261,NA,NA,"W",128,NA," ","W"
2000,7,11,356,NA,NA,"W",111,NA," ","W"
2000,7,12,356,NA,NA,"W",133,NA," ","W"
2000,7,13,339,NA,NA,"W",106,NA," ","W"
2000,7,14,344,NA,NA,"W",133,NA," ","W"
2000,7,15,350,NA,NA,"W",117,NA," ","W"
2000,7,16,367,NA,NA,"W",117,NA," ","W"
2000,7,17,328,NA,NA,"W",133,NA," ","W"
2000,7,18,283,NA,NA,"W",122,NA," ","W"
2000,7,19,267,NA,NA,"W",128,NA," ","W"
2000,7,20,294,NA,NA,"W",100,NA," ","W"
2000,7,21,322,NA,NA,"W",106,NA," ","W"
2000,7,22,289,NA,NA,"W",122,NA," ","W"
2000,7,23,239,NA,NA,"W",133,NA," ","W"
2000,7,24,339,NA,NA,"W",128,NA," ","W"
2000,7,25,344,NA,NA,"W",133,NA," ","W"
2000,7,26,306,NA,NA,"W",128,NA," ","W"
2000,7,27,322,NA,NA,"W",128,NA," ","W"
2000,7,28,289,NA,NA,"W",139,NA," ","W"
2000,7,29,178,NA,NA,"W",133,NA," ","W"
2000,7,30,217,NA,NA,"W",150,NA," ","W"
2000,7,31,228,NA,NA,"W",139,NA," ","W"
2000,8,1,189,NA,NA,"0",139,NA," ","0"
2000,8,2,228,NA,NA,"0",133,NA," ","0"
2000,8,3,222,NA,NA,"0",100,NA," ","0"
2000,8,4,228,NA,NA,"0",111,NA," ","0"
2000,8,5,272,NA,NA,"0",78,NA," ","0"
2000,8,6,300,NA,NA,"0",89,NA," ","0"
2000,8,7,339,NA,NA,"0",100,NA," ","0"
2000,8,8,328,NA,NA,"0",111,NA," ","0"
2000,8,9,294,NA,NA,"0",94,NA," ","0"
2000,8,10,294,NA,NA,"0",83,NA," ","0"
2000,8,11,344,NA,NA,"0",100,NA," ","0"
2000,8,12,328,NA,NA,"0",128,NA," ","0"
2000,8,13,361,NA,NA,"0",178,NA," ","0"
